med_mass_1 med_mass_2 med_lum_dist log_D_AB
8.985167418561783137e+00 6.415373454207239590e+00 5.887185410815916384e+02 -2.505593573362695992e+01
8.742149746130777999e+00 7.552493893667239888e+00 5.430636827794564852e+02 -2.806827039692385029e+01
9.297311636728375461e+00 9.029583307132986292e+00 5.475760883267415693e+02 -2.673520743506843544e+01
9.639777888759500257e+00 6.650342412513183810e+00 5.322718559785914749e+02 -2.267266243012005944e+01
4.030644601892495160e+01 2.902898695123166561e+01 4.056436904934600170e+04 -7.781647064806431757e+00
1.599989729127337590e+01 1.448264048590257502e+01 5.216424144977634114e+02 -1.109202569542993366e+01
6.732952060392188187e+00 6.348373484337889394e+00 4.630106508646462089e+02 -4.116665694975154111e+01
2.347954409148056953e+01 2.006026138556743277e+01 9.854859604959208809e+03 -6.771516153748709854e+00
3.961058845775207260e+01 3.921284371122617785e+01 5.399061327188103405e+02 9.387441931216642388e-01
1.022786520513050164e+02 4.136396020659995543e+01 2.311950889675696089e+04 2.042486151150708196e+00
3.936751965736254988e+01 3.094185198096878509e+01 2.256186176548185904e+04 -6.372376263599758062e+00
9.000951182234626202e+00 8.580940325862375317e+00 5.720596648192645262e+02 -2.727851167026978629e+01
1.691726624918865340e+01 1.248977473673287442e+01 7.066169712799191075e+03 -1.251174614209848812e+01
9.314890134451070836e+00 8.795578542973318648e+00 5.394026066307153542e+02 -2.607205642453667238e+01
7.259322268916028165e+00 6.828166375672639177e+00 5.521331376959399222e+02 -3.639806259393922971e+01
1.809667483128075816e+01 1.312094755079388086e+01 6.849505285969459692e+03 -1.047675584831704398e+01
1.151760730740320682e+01 1.037273213072612954e+01 5.386351797739075664e+02 -1.975101099330679233e+01
2.702846168085643512e+02 1.265105639113471625e+02 4.543323200457711209e+04 3.456634616232967971e+00
9.064322355956068833e+00 8.799926004234556842e+00 5.200882050678515043e+02 -2.813226566583671939e+01
3.888356148265424395e+01 3.394374643319827101e+01 2.105149323457937862e+04 -6.303306087949557934e+00
2.812932563456589108e+01 1.669984962719407662e+01 5.852906992334857023e+03 -2.625899980818239499e+00
7.789574255994835994e+01 6.777539306854868073e+01 8.965664919163733430e+03 1.619246629755146216e+00
8.920847772992033242e+00 8.261614781927455908e+00 4.847171922553690138e+02 -2.867523014830833006e+01
9.205342789386936175e+00 7.033180936618157908e+00 5.592705263677477205e+02 -2.487164127807251646e+01
6.545062457284812751e+01 4.569347859193533168e+01 3.540115044411928830e+04 -2.930976564698919873e+00
8.084494000997771934e+00 6.800715792614001387e+00 5.094660048406811939e+02 -3.119615739453247016e+01
8.703995640043807214e+00 8.346225130419490768e+00 4.277025307449335969e+02 -2.963415041954581852e+01
2.236024896926147676e+01 2.128232070859078817e+01 4.738651965907951080e+02 -1.534237016200510340e+00
9.091361515588655351e+00 8.537397537139348458e+00 5.436904847301974542e+02 -2.689805058413840655e+01
6.804797817409269811e+00 6.382679434764444437e+00 7.188623657929833826e+02 -3.855544036424242904e+01
1.496355748082910431e+01 1.402596245219862858e+01 4.844899884955639209e+03 -1.298413754975526402e+01
9.478399942489769359e+00 6.531465097867156899e+00 5.292401451083514985e+02 -2.346514786965376587e+01
7.928031619631740412e+00 6.856421117056350489e+00 5.725370559586448280e+02 -3.180477213565050931e+01
8.852592901168915063e+00 8.421816135500648670e+00 5.284126697711919860e+02 -2.880862964423427997e+01
1.203418114547496387e+01 1.093138405558481452e+01 4.915142695687899277e+02 -1.903821267135721129e+01
8.882682739438447328e+00 8.698758007921632895e+00 6.837670000037981026e+02 -2.716749148336353414e+01
8.834509003362780888e+00 6.545332393856451603e+00 4.954339624607825954e+02 -2.658516759255824624e+01
9.576756141579815917e+00 6.967185779549826208e+00 1.056988384164563740e+03 -2.043662454794371186e+01
7.903177693896321188e+00 6.886846940083280799e+00 9.715423886435207805e+02 -2.955201872721848133e+01
1.357836336875386678e+02 1.126422573585854536e+02 1.753254711744005544e+04 2.221348916481773017e+00
3.076922999629983480e+01 1.275850266329555360e+01 6.097970807516790956e+03 -1.059402813210446936e+00
4.227935136573216823e+01 1.072617454560944239e+01 5.841246127418888136e+03 1.896710654017578435e+00
2.166980528755060931e+01 1.371344157441347100e+01 7.586803886311504357e+03 -7.292048854668415458e+00
7.641855388239569002e+00 7.190385057732747498e+00 8.337723102965144335e+02 -3.330387245955368059e+01
9.960379649815124026e+00 9.122613352134685272e+00 7.580024991933458978e+02 -2.130357170016501556e+01
1.502840068613509459e+02 7.455343015674179696e+01 2.899988798229657914e+04 2.307154889506527695e+00
8.876914895516812010e+00 7.341096090479904746e+00 8.826033407042043564e+02 -2.579958032088939390e+01
4.264629936509416552e+01 3.435296728954091350e+01 3.593533201894310332e+04 -7.012726260719727378e+00
9.831668453688617859e+00 9.066670961459127653e+00 9.088423885544484619e+02 -2.140396088644623873e+01
4.812301389303921439e+01 3.439656518410384223e+01 1.656885045914701186e+04 -2.645447759777638908e+00
4.618130815187470972e+01 3.912373400083810537e+01 3.520109326370962663e+04 -6.326330947309234176e+00
