med_mass_1 med_mass_2 med_lum_dist log_D_AB
3.649882828012615619e+02 3.151158791711745835e+02 7.126991019713543938e+04 4.556539417547170956e+00
2.615008026623090700e+02 2.385659587673023339e+02 4.424643583771379781e+04 3.919654294435055419e+00
2.624162993615879031e+02 2.091923073544243721e+02 6.318791659517260268e+04 3.805491409188483942e+00
1.007490368280849111e+02 8.597281343331519565e+01 1.565389964430214059e+04 1.795199518674063910e+00
8.274741327474607999e+01 2.019194360942955768e+01 1.330531072837713509e+04 2.431445085371301218e+00
2.868556710135742378e+02 2.045229627157785330e+02 5.907322849800588301e+04 3.920842348180322290e+00
2.708913115711316095e+02 2.236683537454658222e+02 5.086498568179826543e+04 4.045212446071364099e+00
1.109735743196628732e+02 8.570731416655921464e+01 1.063983765351620423e+04 2.557285687094029925e+00
1.035906552825503240e+03 8.411184955615950685e+02 1.082681661773400119e+05 1.448835115438546950e+01
1.865672479800062433e+02 1.336470598341587106e+02 3.375738672669912921e+04 2.933502471307107839e+00
6.440125822586965398e+01 2.668972231515085625e+01 3.370686030459114590e+03 1.196646783969754324e+00
8.293743325341984018e+01 2.621266043165311999e+01 1.416058662282918340e+04 2.245279490759596541e+00
1.830378138765598806e+02 1.149105513857063556e+02 3.715572519675255171e+04 2.656275952377711747e+00
6.522215847648885756e+02 4.594093401090748330e+02 1.053862002529781457e+05 5.981358354106166786e+00
5.757129369009035145e+02 4.350170025248767161e+02 1.298705803083682113e+05 5.814395483593663982e+00
3.651320276479461882e+02 2.769000096924297623e+02 8.990654115545726381e+04 4.353730467536163218e+00
4.778904335837324879e+01 2.541519866456789245e+01 8.355210392237873748e+03 6.782551658751465595e-01
7.253519899932900898e+02 6.176998090285337639e+02 1.299491998837870051e+05 7.805610413608974341e+00
4.608403646260220512e+02 4.102204229312525285e+02 8.196143435595437768e+04 4.704943588719693537e+00
2.976819111328198915e+02 1.834440674836335461e+02 8.136663532002248394e+04 3.682105140783175301e+00
1.366098856375656396e+02 7.178531913507484319e+01 2.566441043794704819e+04 2.022887345804587511e+00
5.109923399983221088e+02 3.040220253590363200e+02 1.134593062192187499e+05 4.392823140527795545e+00
6.609358912291522756e+02 5.629392359714964869e+02 1.041524987644297071e+05 6.650305384663759867e+00
1.491896936312738831e+02 5.281773533107631380e+01 3.269873664110102982e+04 2.552716972293055164e+00
7.666077221627278959e+01 2.424330879794901961e+01 8.229933666912642366e+03 2.274998128582272017e+00
1.894452154432116799e+02 1.459690988896897466e+02 3.431989229107165011e+04 2.615332446092509144e+00
1.621706533331726519e+02 1.479043437527940625e+02 2.997867230034981185e+04 2.143702222424252568e+00
4.083281552682414031e+02 3.572689923986466738e+02 1.167728219497396640e+05 5.006238591707379726e+00
1.472410433859924979e+02 8.974706852226967158e+01 4.325105923177187651e+04 1.482728310811005201e+00
3.053603215501674413e+02 2.277270228304305704e+02 5.942972564870675706e+04 3.891060545981211760e+00
5.772978676212351274e+02 4.925558727017663614e+02 9.344853191278877784e+04 5.676919671620009211e+00
8.681274528784831546e+02 5.153495952679654692e+02 1.945117457025518524e+05 8.718482383311162209e+00
4.138381844134498806e+02 3.126180283191981175e+02 8.622566343134065391e+04 4.417914101741374111e+00
3.075836119058560598e+02 2.254403479428473815e+02 6.384669910363145755e+04 3.869408179714447726e+00
1.982471874741939928e+02 1.661166662023335050e+02 4.099316368879245420e+04 2.585494702354257157e+00
3.761437704023603033e+02 3.314742948304639185e+02 5.657531535386911128e+04 4.532685353272508877e+00
8.338671394774335965e+01 6.686260003577390876e+01 6.051349287790819290e+03 2.407060087897331613e+00
6.091656449825961062e+01 5.595999088337977412e+01 4.117188669210783701e+03 1.805828410285453600e+00
2.295290458964385607e+02 1.714392422259309114e+02 4.432898326433265902e+04 2.892468969433636516e+00
2.803047781193190531e+02 2.128435739093026200e+02 2.301259264349868681e+04 4.058552396866446088e+00
2.263267637856692431e+02 2.120655957231718958e+02 5.978919971399268252e+04 3.325552147321459984e+00
2.326355535716424185e+02 1.455838831098799915e+02 3.881059549839803367e+04 2.878118245267078379e+00
3.030111577317210276e+02 1.866336864446848836e+02 6.207585881783728109e+04 3.490189122666187416e+00
6.287139145519524419e+01 3.777230424915085649e+01 3.001262015766868717e+04 -2.371978246232082199e+00
3.081280316854138164e+02 2.366051841128812043e+02 9.969523582464524952e+04 4.034175377540368146e+00
1.289555228231198214e+02 1.047808861542890213e+02 4.106438855833762500e+04 9.407506958224622906e-01
7.551758488402678040e+02 5.154880769174342277e+02 1.175945411593055760e+05 6.743872891887061627e+00
3.183038157930400303e+02 2.898282011306222898e+02 6.014503759973720298e+04 4.455895740567903829e+00
6.058882902268004500e+01 3.382362197662328640e+01 9.663064041267381981e+03 1.401408073705670887e+00
