med_mass_1 med_mass_2 med_lum_dist p_PopIII
4.436436559799469137e+01 3.327359828947004416e+01 3.442852573451414173e+03 9.114172363281249911e-01
3.521840848117482210e+02 2.800413851194643939e+02 7.279685407917032717e+04 9.366978759765625107e-01
1.458107258423395081e+02 9.458885204961535464e+01 3.193413341965602740e+04 8.866377563476562917e-01
1.301531033514734759e+02 5.993990448457085307e+01 2.993107290078947699e+04 8.669830322265624778e-01
1.665863730885133691e+02 1.480924123986483778e+02 3.384802588302829099e+04 8.128103027343750453e-01
6.588999798880885805e+01 5.033418736371982050e+01 8.818061183222260297e+03 7.899080810546874609e-01
3.672496500415037417e+02 2.940778583254046339e+02 7.021614306945863063e+04 9.392081298828125480e-01
2.049919792450005502e+02 1.767082008028530140e+02 3.672472124851868284e+04 8.795258789062500027e-01
1.016440332593299445e+02 5.766194605274441187e+01 1.036517974509035594e+04 8.797796630859374689e-01
6.393462772839840369e+01 4.773069678124699067e+01 6.618811473287585613e+03 9.084357910156249938e-01
2.237265779281720484e+02 1.902837877985766681e+02 7.034760579205007525e+04 8.435579833984374609e-01
6.220642917607001721e+01 2.092884797041401157e+01 8.374869264659488181e+03 9.361477050781249476e-01
1.817496989026468270e+02 1.403605713522864562e+02 3.988312054238299606e+04 9.342175292968749600e-01
2.324743793009030810e+02 1.758211350545365121e+02 6.195648977307497989e+04 9.545761718749999902e-01
1.548335322492711157e+02 1.209777816942287245e+02 2.533520699797634734e+04 9.475170898437500488e-01
1.881726715360098865e+02 1.081689745794706425e+02 3.475824021103048290e+04 9.656014404296875409e-01
3.442193801069566348e+02 2.886455990906276838e+02 3.325977875397081516e+04 8.762414550781250089e-01
3.142173427947462869e+02 2.628684011007154595e+02 7.377159465926451958e+04 9.089025878906249467e-01
6.703140859119892525e+01 5.313648424621821675e+01 9.988615722715519951e+03 6.440637207031250089e-01
5.683537305610304458e+01 3.355077126742854432e+01 1.890381958173584280e+04 1.751479187011718841e-01
2.222090779782959942e+02 1.974680976441835014e+02 4.130104275006662647e+04 8.786999511718750488e-01
1.535231329536399301e+02 1.269434333927062823e+02 4.884641289289735141e+04 7.030957641601562891e-01
