med_mass_1 med_mass_2 med_lum_dist p_PopIII
1.109735743196628732e+02 8.570731416655921464e+01 1.063983765351620423e+04 9.631459350585938051e-01
1.035906552825503240e+03 8.411184955615950685e+02 1.082681661773400119e+05 9.987178955078125364e-01
1.865672479800062433e+02 1.336470598341587106e+02 3.375738672669912921e+04 9.653350219726563042e-01
6.440125822586965398e+01 2.668972231515085625e+01 3.370686030459114590e+03 8.860836181640624476e-01
8.293743325341984018e+01 2.621266043165311999e+01 1.416058662282918340e+04 8.421463623046875346e-01
1.830378138765598806e+02 1.149105513857063556e+02 3.715572519675255171e+04 9.557166748046874716e-01
6.522215847648885756e+02 4.594093401090748330e+02 1.053862002529781457e+05 9.832725219726562438e-01
5.757129369009035145e+02 4.350170025248767161e+02 1.298705803083682113e+05 9.814729003906249583e-01
3.651320276479461882e+02 2.769000096924297623e+02 8.990654115545726381e+04 9.135771484375000417e-01
4.778904335837324879e+01 2.541519866456789245e+01 8.355210392237873748e+03 8.535001220703124503e-01
7.253519899932900898e+02 6.176998090285337639e+02 1.299491998837870051e+05 9.987070312500000435e-01
4.608403646260220512e+02 4.102204229312525285e+02 8.196143435595437768e+04 9.744395751953125462e-01
2.976819111328198915e+02 1.834440674836335461e+02 8.136663532002248394e+04 8.953944091796874893e-01
1.366098856375656396e+02 7.178531913507484319e+01 2.566441043794704819e+04 8.219814453124999476e-01
5.109923399983221088e+02 3.040220253590363200e+02 1.134593062192187499e+05 8.900959472656250204e-01
6.609358912291522756e+02 5.629392359714964869e+02 1.041524987644297071e+05 9.981818847656249716e-01
1.491896936312738831e+02 5.281773533107631380e+01 3.269873664110102982e+04 8.212441406249999520e-01
7.666077221627278959e+01 2.424330879794901961e+01 8.229933666912642366e+03 8.836399536132812926e-01
1.894452154432116799e+02 1.459690988896897466e+02 3.431989229107165011e+04 9.555852050781250551e-01
1.621706533331726519e+02 1.479043437527940625e+02 2.997867230034981185e+04 8.686146240234374760e-01
4.083281552682414031e+02 3.572689923986466738e+02 1.167728219497396640e+05 9.179175415039062536e-01
1.472410433859924979e+02 8.974706852226967158e+01 4.325105923177187651e+04 8.071523437500000009e-01
3.053603215501674413e+02 2.277270228304305704e+02 5.942972564870675706e+04 9.566589355468749778e-01
