med_mass_1 med_mass_2 med_lum_dist p_PopIII
8.419179270156554651e+00 7.146959624837024627e+00 1.782301868764198787e+02 6.726896166801452862e-04
7.910962627049212159e+00 6.236774108714709719e+00 1.684983868950069450e+02 8.197503685951233396e-04
8.600249878628037692e+00 8.268015922729551548e+00 1.642259258667289998e+02 5.478094816207886193e-04
6.605073652968201259e+00 6.411018209403216872e+00 1.793223878960618265e+02 8.197503685951233396e-04
1.573649895078373007e+01 1.065065185605838138e+01 4.804144329008414388e+03 3.501136898994445796e-04
8.513725597866036665e+00 5.961794881483966968e+00 1.572147464671097623e+02 8.197503685951233396e-04
9.330778347924116645e+00 8.687126163259581091e+00 1.676326292305023458e+02 5.478094816207886193e-04
1.325039627613374016e+01 1.293553839036251496e+01 1.337541607362377647e+02 6.163027882575988379e-04
8.357380980677547200e+00 6.010474844616146228e+00 1.953243752456046991e+02 8.197503685951233396e-04
8.466971079050361837e+00 6.502550074626496368e+00 1.769220213830394925e+02 8.197503685951233396e-04
8.351810212791068722e+00 5.971908979937293083e+00 2.278717122865220404e+02 8.197503685951233396e-04
8.494870920423082339e+00 8.350277719067705107e+00 1.923717697822476964e+02 5.478094816207886193e-04
7.476910217269449710e+00 5.983675724682425923e+00 1.748188876842467607e+02 8.197503685951233396e-04
8.940564851417759584e+00 8.626578496460055590e+00 5.727521294024563758e+02 5.478094816207886193e-04
9.493673578229578425e+01 2.709866103865189757e+01 3.563089959642790927e+04 2.135360412597656354e-01
6.533947397134136281e+01 4.403127109049759014e+01 2.808351039629612933e+04 1.403969573974609419e-01
1.698760329919773326e+01 1.247256842184046377e+01 6.585353583654546128e+03 3.453902900218963623e-04
3.916022573693307862e+01 3.288308388169826912e+01 8.913534784675033734e+03 1.710338592529296944e-02
1.594504568618721407e+01 1.208784869787055527e+01 5.560371057849247336e+03 3.441967368125915263e-04
8.881373272057007995e+00 8.295681754225100235e+00 5.219214555622481839e+02 5.478094816207886193e-04
9.022405144071132810e+00 8.840621058477115213e+00 6.405606744736097653e+02 5.478094816207886193e-04
9.437750469441198220e+00 8.714792537138556838e+00 5.303113565994101464e+02 5.478094816207886193e-04
1.595335587871571370e+01 1.076218959933060404e+01 5.097187637323791932e+03 3.504443168640136459e-04
8.985167418561783137e+00 6.415373454207239590e+00 5.887185410815916384e+02 8.197503685951233396e-04
8.742149746130777999e+00 7.552493893667239888e+00 5.430636827794564852e+02 6.726896166801452862e-04
9.297311636728375461e+00 9.029583307132986292e+00 5.475760883267415693e+02 5.478094816207886193e-04
9.639777888759500257e+00 6.650342412513183810e+00 5.322718559785914749e+02 3.351421117782592968e-03
4.030644601892495160e+01 2.902898695123166561e+01 4.056436904934600170e+04 1.058141350746154849e-03
1.599989729127337590e+01 1.448264048590257502e+01 5.216424144977634114e+02 6.163027882575988379e-04
6.732952060392188187e+00 6.348373484337889394e+00 4.630106508646462089e+02 8.197503685951233396e-04
2.347954409148056953e+01 2.006026138556743277e+01 9.854859604959208809e+03 1.155858516693115219e-03
3.961058845775207260e+01 3.921284371122617785e+01 5.399061327188103405e+02 2.328569030761718783e-01
1.022786520513050164e+02 4.136396020659995543e+01 2.311950889675696089e+04 8.334060058593749654e-01
3.936751965736254988e+01 3.094185198096878509e+01 2.256186176548185904e+04 1.702217936515808055e-03
9.000951182234626202e+00 8.580940325862375317e+00 5.720596648192645262e+02 5.478094816207886193e-04
1.691726624918865340e+01 1.248977473673287442e+01 7.066169712799191075e+03 3.442125618457794181e-04
9.314890134451070836e+00 8.795578542973318648e+00 5.394026066307153542e+02 5.478094816207886193e-04
7.259322268916028165e+00 6.828166375672639177e+00 5.521331376959399222e+02 7.596025466918945087e-04
1.809667483128075816e+01 1.312094755079388086e+01 6.849505285969459692e+03 3.454945087432861146e-04
1.151760730740320682e+01 1.037273213072612954e+01 5.386351797739075664e+02 5.478094816207886193e-04
2.702846168085643512e+02 1.265105639113471625e+02 4.543323200457711209e+04 8.483339233398436985e-01
9.064322355956068833e+00 8.799926004234556842e+00 5.200882050678515043e+02 5.478094816207886193e-04
3.888356148265424395e+01 3.394374643319827101e+01 2.105149323457937862e+04 2.278158664703369349e-03
2.812932563456589108e+01 1.669984962719407662e+01 5.852906992334857023e+03 7.146782875061034879e-03
7.789574255994835994e+01 6.777539306854868073e+01 8.965664919163733430e+03 6.972178344726562838e-01
8.920847772992033242e+00 8.261614781927455908e+00 4.847171922553690138e+02 5.478094816207886193e-04
9.205342789386936175e+00 7.033180936618157908e+00 5.592705263677477205e+02 6.726896166801452862e-04
6.545062457284812751e+01 4.569347859193533168e+01 3.540115044411928830e+04 1.416959667205810493e-02
8.084494000997771934e+00 6.800715792614001387e+00 5.094660048406811939e+02 8.197503685951233396e-04
8.703995640043807214e+00 8.346225130419490768e+00 4.277025307449335969e+02 5.504180192947387678e-04
2.236024896926147676e+01 2.128232070859078817e+01 4.738651965907951080e+02 2.045269966125488198e-02
9.091361515588655351e+00 8.537397537139348458e+00 5.436904847301974542e+02 5.478094816207886193e-04
6.804797817409269811e+00 6.382679434764444437e+00 7.188623657929833826e+02 8.197503685951233396e-04
1.496355748082910431e+01 1.402596245219862858e+01 4.844899884955639209e+03 3.661960959434509399e-04
9.478399942489769359e+00 6.531465097867156899e+00 5.292401451083514985e+02 8.197503685951233396e-04
7.928031619631740412e+00 6.856421117056350489e+00 5.725370559586448280e+02 6.750426292419433195e-04
8.852592901168915063e+00 8.421816135500648670e+00 5.284126697711919860e+02 5.478094816207886193e-04
1.203418114547496387e+01 1.093138405558481452e+01 4.915142695687899277e+02 5.478094816207886193e-04
8.882682739438447328e+00 8.698758007921632895e+00 6.837670000037981026e+02 5.478094816207886193e-04
8.834509003362780888e+00 6.545332393856451603e+00 4.954339624607825954e+02 8.197503685951233396e-04
9.576756141579815917e+00 6.967185779549826208e+00 1.056988384164563740e+03 6.726896166801452862e-04
7.903177693896321188e+00 6.886846940083280799e+00 9.715423886435207805e+02 6.726896166801452862e-04
1.357836336875386678e+02 1.126422573585854536e+02 1.753254711744005544e+04 9.574763183593749671e-01
3.076922999629983480e+01 1.275850266329555360e+01 6.097970807516790956e+03 8.735128402709960854e-03
4.227935136573216823e+01 1.072617454560944239e+01 5.841246127418888136e+03 9.138624267578124849e-01
2.166980528755060931e+01 1.371344157441347100e+01 7.586803886311504357e+03 1.711296200752258304e-03
7.641855388239569002e+00 7.190385057732747498e+00 8.337723102965144335e+02 6.726896166801452862e-04
9.960379649815124026e+00 9.122613352134685272e+00 7.580024991933458978e+02 5.478094816207886193e-04
1.502840068613509459e+02 7.455343015674179696e+01 2.899988798229657914e+04 8.329143676757811976e-01
8.876914895516812010e+00 7.341096090479904746e+00 8.826033407042043564e+02 6.726896166801452862e-04
4.264629936509416552e+01 3.435296728954091350e+01 3.593533201894310332e+04 1.298928737640380826e-03
9.831668453688617859e+00 9.066670961459127653e+00 9.088423885544484619e+02 5.478094816207886193e-04
4.812301389303921439e+01 3.439656518410384223e+01 1.656885045914701186e+04 2.658231925964355327e-02
4.618130815187470972e+01 3.912373400083810537e+01 3.520109326370962663e+04 2.414706468582153518e-03
1.507049762054152708e+01 1.366935360550577094e+01 4.904875545059354408e+03 3.634993135929107913e-04
9.997565629615213112e+00 9.218143415287741504e+00 9.366827260408564371e+02 5.478094816207886193e-04
8.579443007263442666e+00 7.650749764876250580e+00 9.001671510880732967e+02 6.726896166801452862e-04
2.297243105576952757e+02 1.581421149996648978e+02 5.584426283226474334e+04 8.704965820312500213e-01
7.763235494644698420e+00 7.191034079571821280e+00 9.776842423690027317e+02 6.726896166801452862e-04
2.274874162017464130e+01 2.077483697927418760e+01 8.286387355376611595e+03 1.785393476486206096e-03
2.371570388953926667e+01 2.046984150586642670e+01 9.441036393733086243e+02 2.298448181152343631e-02
2.009878953842363103e+01 1.646618358460170839e+01 6.647099012091755867e+03 3.662944734096527065e-04
